features,review_text,distance_to_center,review_score,image_url,price,star_rating,daily_price,nights,id,location,value_ratio,review_count,name
"Ücretsiz İptal, Wi-Fi",Çok iyi,Merkeze 1.3 km,8.0,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294292230000/2/1/11150/musk_hostel.jpg?width=552&height=392&mode=crop&anchor=center,1.626 TL,0,(gecelik 813 TL),2 Gece,1396596,"Beyoğlu, İstanbul -",9.84009840098401,9,Musk Hostel
"Ücretsiz İptal, Resepsiyon",İyi,,7.9,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293794670000/2/1/10506/plus_park_suite___hotel.jpg?width=552&height=392&mode=crop&anchor=center,1.755 TL,0,(gecelik 878 TL),2 Gece,1315354,"Esenyurt, İstanbul -",8.997722095671982,96,Plus Park Suite & Hotel
"Otopark, Wi-Fi",Normal,Merkeze 0.2 km,7.3,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290680000000/2/1/8571/green_bird_suit.jpg?width=552&height=392&mode=crop&anchor=center,1.674 TL,3,(gecelik 837 TL),2 Gece,770439,"Taksim, Beyoğlu, İstanbul -",8.721624850657108,53,Green Bird Suit
"Otopark, Wi-Fi",Olağanüstü,,10,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/638246074358200000/2/1/28815/the_private_airport_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.315 TL,3,(gecelik 1.158 TL),2 Gece,1450497,"Arnavutköy, İstanbul -",8.635578583765112,1,The Private Airport Hotel
"Restoran, Teras, Resepsiyon",Misafir Puanı,Merkeze 0.8 km,5.2,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952292528070000/2/1/9637/paxx_istanbul_hotel___hostel.jpg?width=552&height=392&mode=crop&anchor=center,1.209 TL,0,(gecelik 605 TL),2 Gece,766464,"Taksim, Beyoğlu, İstanbul -",8.59504132231405,63,Paxx İstanbul Hotel & Hostel
"Wi-Fi, Restoran",İyi,Merkeze 1 km,7.7,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293621870000/2/1/10152/asitane_life.jpg?width=552&height=392&mode=crop&anchor=center,1.820 TL,3,(gecelik 910 TL),2 Gece,104043,"Sultanahmet, Fatih, İstanbul -",8.461538461538462,32,Asitane Life
"Otopark, Havuz, Toplantı Odaları, Wi-Fi, Restoran, Resepsiyon",Çok iyi,,8.4,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294262730000/2/1/10966/campus_boutique_hotel.jpg?width=552&height=392&mode=crop&anchor=center,1.995 TL,3,(gecelik 998 TL),2 Gece,1315537,"Avcılar, İstanbul -",8.41683366733467,89,Campus Boutique Hotel
"Wi-Fi, Resepsiyon",Normal,Merkeze 0.5 km,7.2,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290480470000/2/1/8343/istanbul_irish_hotel.jpg?width=552&height=392&mode=crop&anchor=center,1.717 TL,3,(gecelik 859 TL),2 Gece,105744,"Taksim, Beyoğlu, İstanbul -",8.381839348079161,61,İstanbul Irish Hotel
,Olağanüstü,Merkeze 2.6 km,10,https://media.dev.paximum.com/hotelimages/1480666/15933866c820d79b71592266b4f64d78.jpg?width=552&height=392&mode=crop&anchor=center,2.392 TL,0,(gecelik 1.196 TL),2 Gece,1480666,"İçerenköy, Ataşehir, İstanbul -",8.361204013377925,3,Manu Startup House
Wi-Fi,Muhteşem,Merkeze 0.7 km,9.1,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290370470000/2/1/7998/birlik_apart_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.209 TL,3,(gecelik 1.105 TL),2 Gece,478266,"Fatih, İstanbul -",8.235294117647058,17,Birlik Apart Hotel
Restoran,Muhteşem,Merkeze 0.2 km,9.2,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294249700000/2/1/10884/la_bella_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.257 TL,0,(gecelik 1.129 TL),2 Gece,1315390,"Taksim, Beyoğlu, İstanbul -",8.148804251550043,19,La Bella Hotel
